,DIA.,AMAX,PERIOD
0,103.87,0.12,10.443
1,24.57,0.21,6.893
2,38.25,0.1,5.974
3,33.46,0.31,10.7657
4,50.15,0.45,5.23
5,28.61,0.51,16.507
6,31.84,0.56,27.0
7,30.56,0.37,6.351
8,48.21,0.34,7.1663
9,85.95,0.28,16.285999999999998
10,39.78,0.93,5.562
11,25.39,0.37,8.3458
12,34.37,0.49,11.73
13,70.8,0.35,6.193
14,33.04,0.41,20.299
15,39.18,0.11,12.4886
16,48.08,0.26,5.5360000000000005
17,31.75,0.64,14.283
18,45.6,0.3,18.52
19,31.18,0.23,4.8164
20,33.54,0.28,6.103
21,43.01,0.36,8.55
22,26.15,0.49,7.367999999999999
23,21.4,0.19,12.09
24,27.33,0.36,12.581
25,27.52,0.17,13.308
26,24.71,0.04,10.07
27,35.52,0.91,44.9
28,31.67,0.4,5.794
29,31.53,0.23,2.7872
30,36.95,0.33,5.4312
31,35.76,0.26,82.5
32,34.8,0.2,5.0844
33,33.23,0.94,6.5447
34,16.46,0.2,12.0
35,35.56,0.34,12.085
36,31.25,0.11,28.3
37,23.05,0.7,9.073
38,33.65,0.56,15.2616
39,15.79,1.0,491.4
40,26.0,0.37,5.4221
41,20.44,0.07,18.13
42,21.7,0.46,8.8776
43,26.52,0.86,5.5841
44,23.47,0.35,6.267
45,22.97,0.48,9.38
46,34.16,0.46,22.93
47,25.73,0.36,7.25
48,25.17,0.65,11.9432
49,31.13,0.15,4.9
50,21.23,0.5,6.357
51,28.75,0.4,8.7
52,29.49,0.52,8.17
53,22.41,0.54,7.5
54,28.44,0.09,25.0
55,26.16,0.26,7.115
56,18.33,0.29,8.996
58,32.25,0.35,7.24
59,32.38,0.14,11.6
60,25.98,0.33,7.95
61,27.04,0.27,10.5559
62,31.3,0.41,6.2545
63,24.17,0.32,4.742
64,21.4,0.17,9.222999999999999
65,22.41,0.2,8.8
66,20.44,0.46,5.4699
67,12.9,0.46,35.399
68,27.92,0.23,18.0
69,23.47,0.48,18.72
70,18.82,0.4,6.318
71,23.13,0.5,3.2106
72,24.26,0.08,30.049
73,19.52,0.16,3.139
75,18.64,0.1,25.0
77,26.94,0.04,4.622
78,18.38,0.52,3.67
79,10.73,0.6,7.004
80,21.56,0.24,25.478
81,30.45,0.15,7.462000000000001
82,30.25,0.38,71.34
83,24.54,0.29,6.563
84,18.83,0.36,29.765
85,19.52,0.45,6.4571
86,19.79,0.24,5.995
87,22.41,0.43,7.396
88,20.44,0.78,9.462
89,20.51,0.36,41.7
90,21.29,0.56,6.722
91,23.52,0.52,10.0253
92,26.63,0.39,17.12
93,20.44,0.43,10.847999999999999
94,16.1,0.24,4.298
95,32.03,0.05,10.82
96,20.44,0.8,14.715
97,30.81,0.13,3.9739999999999998
98,21.4,0.67,6.877999999999999
99,14.99,0.65,6.5334
100,15.5,0.23,3.875
101,21.15,0.07,8.241
102,20.57,0.29,6.774
103,19.52,0.18,9.39
104,19.15,0.21,12.2
105,17.8,0.4,11.45
106,17.8,0.22,8.146
107,8.52,0.22,16.45
108,13.25,0.34,3.057
109,17.0,0.27,5.012
110,17.8,0.63,48.32
111,15.95,0.52,16.97
113,15.5,0.61,63.846000000000004
114,15.74,0.89,22.041999999999998
115,17.8,0.28,36.343
116,22.65,0.26,8.12
118,17.8,0.8,9.51
120,14.94,0.37,8.509
121,25.16,0.53,6.8191
122,19.52,0.51,8.023
123,25.65,0.25,4.8260000000000005
124,24.97,0.25,7.097
125,14.24,0.31,6.005
126,24.75,0.17,19.23
127,11.22,0.44,17.81
128,12.56,0.45,21.807
129,16.23,0.25,5.287999999999999
130,25.94,0.24,10.36
131,19.52,0.52,9.495
132,22.41,0.38,18.692
133,25.73,0.15,9.36
134,15.49,0.15,24.438000000000002
135,23.55,0.23,6.456
136,17.8,0.2,4.684
137,25.25,0.47,24.84
138,21.4,0.09,6.48
139,13.68,0.69,16.756
140,29.69,0.26,18.79
141,18.17,0.45,15.459000000000001
143,16.69,0.4,8.9
144,17.8,0.1,6.9
145,13.02,0.19,84.96
146,25.89,0.53,5.376
148,10.53,0.24,3.27
149,19.93,0.37,4.0089999999999995
150,13.61,0.28,16.715999999999998
151,17.8,0.29,20.628
152,20.44,0.13,7.694
153,17.8,0.25,7.34
154,18.64,0.2,9.7215
155,21.4,0.4,7.919
156,20.44,0.38,4.831
157,16.23,0.31,6.2108
158,17.0,0.5,5.31
159,16.24,0.5,5.005
160,17.0,0.1,10.288
161,24.57,0.19,9.137
162,17.0,0.52,8.85
163,17.8,0.3,10.63
164,16.23,0.12,6.619
165,16.23,0.41,4.23
166,20.63,0.07,5.04
167,16.23,0.75,5.2068
168,19.19,0.5,6.6687
169,12.09,0.24,2.937
170,9.94,0.49,3.469
171,17.8,0.24,2.9339999999999997
174,17.0,0.65,10.774000000000001
175,17.8,0.27,9.4
176,14.81,0.16,11.682
177,13.5,0.63,6.506
178,16.33,0.07,14.706
179,15.5,0.21,8.1938
180,10.78,0.16,16.535999999999998
183,13.67,0.88,4.416
184,12.12,0.77,6.138
185,10.11,0.22,8.715
187,11.76,0.33,4.27
188,11.91,0.08,5.865
189,11.08,0.26,5.598
192,16.24,0.29,3.9589999999999996
193,10.73,0.41,3.3289999999999997
194,17.8,0.25,5.17
195,14.14,0.16,6.952999999999999
196,14.81,0.37,7.087000000000001
198,10.2,0.37,3.35
199,14.14,0.47,30.1
201,17.0,0.38,5.76
202,17.8,0.2,10.0
203,16.23,0.61,16.476
204,13.5,0.6,9.6
205,10.75,0.06,20.151
206,13.5,0.31,7.04
211,12.07,0.5,11.357000000000001
212,15.51,0.41,196.708
213,9.36,0.29,9.445
215,11.23,0.29,8.33
216,13.5,0.1,24.0
218,9.78,0.18,2.7560000000000002
219,10.93,0.46,275.754
220,10.01,0.52,21.849
221,7.35,0.45,7.6610000000000005
223,11.76,0.23,15.3
224,9.0,0.55,5.739
225,10.24,0.46,8.133
226,12.32,0.2,7.75
227,5.88,0.74,104.12799999999999
228,13.85,0.42,4.57
229,10.56,0.37,3.089
230,7.48,0.95,31.52
232,13.49,0.25,8.702
233,10.09,0.48,3.0260000000000002
234,8.84,0.17,5.652
235,10.11,0.08,11.17
236,6.94,0.37,3.748
237,7.5,0.42,11.88
240,11.53,0.7,335.346
241,16.24,0.17,4.378
242,8.22,0.26,5.479
243,6.43,0.4,3.352
245,9.19,0.32,3.687
246,9.78,0.25,7.8
247,10.06,0.43,8.0
248,9.86,0.3,5.825
249,8.98,0.53,16.334
250,10.73,0.78,3.9456
251,9.36,0.27,13.850999999999999
252,10.24,1.44,9.4071
253,14.14,0.15,2.2769999999999997
254,9.56,0.18,3.2060000000000004
255,10.43,0.77,102.546
256,11.53,0.72,5.678
257,4.0,0.41,5.03
258,9.84,0.16,5.401
259,9.33,0.63,3.741
264,8.84,0.16,2.8960000000000004
265,8.52,0.7,13.7
266,6.8,0.35,29.836
267,6.97,0.54,6.821000000000001
268,4.84,0.69,5.852
269,11.23,0.16,34.579
270,9.34,0.3,6.877999999999999
271,5.43,0.8,39.561
272,8.64,0.29,145.7
273,12.32,0.16,6.95
274,11.23,0.4,10.398
275,5.1,0.7,5.901
276,8.32,0.17,14.422
277,13.5,0.5,4.399
278,9.41,0.82,6.297999999999999
279,12.9,0.1,8.0
281,5.01,0.37,3.602
282,5.49,0.32,2.6630000000000003
283,6.24,0.25,21.079
284,8.33,0.46,137.105
285,14.14,0.8,9.22
286,7.81,0.69,21.265
287,10.73,0.23,6.56
290,6.56,0.24,3.5239999999999996
291,3.6,0.29,3.389
292,6.83,0.24,9.462
293,6.92,0.45,6.303999999999999
294,12.32,0.7,3.45
295,7.08,0.3,3.3539999999999996
296,6.37,0.52,3.48
297,9.43,0.78,6.311
300,6.58,0.75,5.077
301,6.14,0.67,4.321000000000001
302,7.06,0.31,9.232999999999999
303,10.52,0.52,4.2330000000000005
305,11.76,0.05,8.0
306,8.86,0.56,4.189
307,8.09,0.47,5.675
309,7.41,0.54,3.721
310,10.73,0.3,6.76
311,7.04,0.59,22.298000000000002
312,10.29,0.58,10.554
313,7.59,0.61,5.513999999999999
314,4.38,0.49,6.058
315,15.51,0.29,6.9
316,6.07,0.54,306.715
317,7.77,0.8,9.7
319,8.98,0.28,8.222000000000001
320,4.72,0.46,10.802
321,5.92,0.15,10.0
322,5.82,0.8,9.591000000000001
323,6.77,0.87,6.249
324,5.16,0.69,15.185
325,7.04,0.41,53.235
326,10.73,0.57,3.568
327,7.31,0.5,3.656
330,5.12,0.18,3.484
332,8.92,0.42,11.71
333,7.42,0.87,6.382000000000001
334,7.76,0.15,3.838
335,7.07,0.35,3.89
336,4.63,0.72,7.855
337,9.78,0.18,5.928
338,6.06,0.5,4.788
340,6.59,0.62,5.867000000000001
341,4.97,0.98,101.321
342,7.1,0.44,4.003
343,4.35,0.61,6.22
344,6.98,0.57,16.965999999999998
345,5.65,0.31,10.057
346,5.11,0.64,28.381999999999998
347,5.73,0.22,2.907
348,9.34,0.29,10.642999999999999
349,6.45,0.56,6.525
350,5.84,0.62,5.044
351,4.38,0.37,8.831
352,4.69,0.22,6.397
353,4.46,0.3,9.533999999999999
355,6.76,0.6,4.475
357,10.24,0.55,4.04
358,8.72,0.16,5.04
359,4.31,0.3,10.964
360,3.69,0.49,6.013999999999999
361,9.01,0.32,4.8260000000000005
362,7.42,0.85,8.6
363,4.45,1.0,9.4
365,8.29,0.84,6.62
366,6.61,0.8,7.632000000000001
367,6.61,0.19,2.33
368,7.14,0.31,5.043
369,7.02,0.28,5.385
372,4.81,0.58,3.71
373,7.27,0.24,5.417000000000001
374,5.51,0.59,7.507000000000001
375,6.19,0.48,361.985
376,5.63,0.19,8.14
377,7.6,0.38,9.128
378,6.46,0.51,5.08
379,5.74,0.39,3.549
380,5.48,0.38,32.0
381,4.9,0.73,6.367999999999999
383,7.14,0.68,700.072
384,5.38,0.2,2.68
385,4.77,0.4,12.15
386,4.31,0.32,14.401
387,3.84,0.36,9.6
388,5.13,0.3,4.76
390,5.38,0.46,4.37
391,6.46,0.42,8.664
392,4.68,0.69,17.3
393,4.46,0.69,31.497
394,4.08,0.65,6.44
395,4.78,0.58,7.888999999999999
396,4.68,0.06,17.6
397,4.08,1.1,28.94
398,4.68,0.22,12.47
399,4.9,0.4,2.8
401,3.72,0.93,8.21
402,4.45,0.15,2.8
403,3.5,0.57,6.064
404,4.88,0.26,2.9419999999999997
405,4.27,0.48,7.9670000000000005
406,4.14,0.53,3.61
407,6.17,0.65,5.102
408,3.53,0.26,4.746
409,2.76,0.61,223.743
410,3.92,0.55,50.982
411,2.81,0.46,3.279
412,4.08,0.56,3.465
413,2.53,0.39,3.15
414,4.04,0.59,5.55
415,4.44,0.74,975.095
416,3.9,0.32,30.364
417,5.08,0.89,147.684
418,7.42,1.8,18.18
419,3.18,0.93,12.296
420,4.61,0.66,6.5120000000000005
421,4.92,0.56,6.21
422,4.07,0.38,6.742999999999999
423,3.31,0.61,6.7829999999999995
424,5.08,0.36,8.314
425,3.39,0.75,7.42
428,4.48,0.76,9.873
429,3.07,0.75,4.0
430,3.9,0.54,208.40400000000002
431,7.09,0.83,7.377999999999999
432,4.47,0.61,12.077
433,2.9,0.52,5.4
434,2.86,0.81,78.268
435,3.55,0.36,2.82
436,3.37,0.59,12.67
437,3.47,1.06,8.05
438,3.9,0.46,2.5
439,3.15,0.19,39.8
440,2.9,0.63,5.601
442,3.04,0.36,5.98
444,3.39,0.41,10.347999999999999
445,2.29,0.37,6.818
446,2.9,0.48,16.27
447,2.88,0.86,375.355
448,2.5,0.36,10.294
449,2.66,0.3,3.26
450,2.21,0.83,8.42
451,3.72,0.77,5.275
452,2.01,0.59,3.458
453,2.95,0.96,5.55
455,2.3,0.76,6.08
457,2.21,0.11,41.2
458,2.15,0.41,3.158
459,2.09,0.76,6.082000000000001
460,2.08,0.62,11.03
461,2.53,0.33,2.75
463,2.03,1.31,6.08
464,1.82,0.8,4.85
465,2.4,0.64,5.39
466,2.24,0.36,5.2737
467,2.17,0.73,6.742000000000001
468,2.06,0.57,3.926
469,2.05,0.54,5.58
470,1.78,0.54,3.5589999999999997
471,1.56,0.83,4.16
473,2.82,0.16,1.33
